track name,common,clade,scientific name,taxon id,Accession,median_time,ci_min,ci_max
Acinonyx_jubatus,Cheetah,carnivora,Acinonyx jubatus,32536.0,GCA_001443585.1_aciJub1,94.0,91.5,97.4
Acomys_cahirinus,Egyptian spiny mouse,euarchontoglires,Acomys cahirinus,10068.0,GCA_004027535.1_AcoCah_v1_BIUU,87.0,81.3,91.0
Ailuropoda_melanoleuca,giant panda,carnivora,Ailuropoda melanoleuca,9646.0,GCA_002007445.1_ASM200744v1,94.0,91.5,97.4
Ailurus_fulgens,Lesser panda,carnivora,Ailurus fulgens,9649.0,GCA_002007465.1_ASM200746v1,94.0,91.5,97.4
Allactaga_bullata,Gobi jerboa,euarchontoglires,Allactaga bullata (Orientallactaga bullata),1041416.0,GCA_004027895.1_AllBul_v1_BIUU,87.0,81.3,91.0
Allenopithecus_nigroviridis,Allen's swamp monkey,primates catarrhini,Allenopithecus nigroviridis,54135.0,GCA_963574245.1,28.8,26.8,30.6
Allochrocebus_lhoesti,LHoests Monkey,primates catarrhini,Allochrocebus lhoesti,100224.0,GCA_963574325.1,28.8,26.8,30.6
Allochrocebus_preussi,Preuss's Monkey,primates catarrhini,Allochrocebus preussi,147649.0,GCA_963574925.1,28.8,26.8,30.6
Allochrocebus_solatus,Sun-tailed Monkey,primates catarrhini,Allochrocebus solatus,147650.0,GCA_963575195.1,28.8,26.8,30.6
Alouatta_belzebul,Red-handed Howler Monkey,primates platyrrhini,Alouatta belzebul,30590.0,GCA_963574145.1,43.0,40.0,44.2
Alouatta_caraya,Black-and-gold Howler Monkey,primates platyrrhini,Alouatta caraya,9502.0,GCA_963575295.1,43.0,40.0,44.2
Alouatta_discolor,Red-handed Howler Monkey,primates platyrrhini,Alouatta discolor,2905217.0,GCA_963575205.1,43.0,40.0,44.2
Alouatta_juara,Colombian Red Howler Monkey,primates platyrrhini,Alouatta juara,2946512.0,GCA_963574365.1,43.0,40.0,44.2
Alouatta_macconnelli,Guianan Red Howler Monkey,primates platyrrhini,Alouatta macconnelli,198115.0,GCA_963573945.1,43.0,40.0,44.2
Alouatta_nigerrima,Black Howler Monkey,primates platyrrhini,Alouatta nigerrima (Alouatta belzebul),30590.0,GCA_963574145.1,43.0,40.0,44.2
Alouatta_palliata,mantled howler monkey,primates platyrrhini,Alouatta palliata,30589.0,GCA_963573975.1,43.0,40.0,44.2
Alouatta_puruensis,Pur?s Red Howler Monkey,primates platyrrhini,Alouatta puruensis (Alouatta seniculus puruensis),1347729.0,GCA_963574235.1,43.0,40.0,44.2
Alouatta_seniculus,Colombian Red Howler Monkey,primates platyrrhini,Alouatta seniculus,9503.0,GCA_963573765.1,43.0,40.0,44.2
Ammotragus_lervia,aoudad,artiodactyla,Ammotragus lervia,9899.0,GCA_002201775.1_ALER1.0,94.0,91.5,97.4
Anoura_caudifer,tailed tailless bat,chiroptera,Anoura caudifer,27642.0,GCA_004027475.1_AnoCau_v1_BIUU,94.0,91.5,97.4
Antilocapra_americana,pronghorn,artiodactyla,Antilocapra americana,9891.0,GCA_004027515.1_AntAmePen_v1_BIUU,94.0,91.5,97.4
Aotus_azarae,Azara's Night Monkey,primates platyrrhini,Aotus azarae (Aotus azarai),30591.0,GCA_963573465.1,43.0,40.0,44.2
Aotus_griseimembra,Grey-handed Night Monkey,primates platyrrhini,Aotus griseimembra,292213.0,GCA_963574505.1,43.0,40.0,44.2
Aotus_nancymaae,Ma's night monkey,primates platyrrhini,Aotus nancymaae,37293.0,GCA_000952055.2_Anan_2.0,43.0,40.0,44.2
Aotus_trivirgatus,Northern Night Monkey,primates platyrrhini,Aotus trivirgatus,9505.0,GCA_963574785.1,43.0,40.0,44.2
Aotus_vociferans,Spixs Night Monkey,primates platyrrhini,Aotus vociferans,57176.0,GCA_963573775.1,43.0,40.0,44.2
Aplodontia_rufa,mountain beaver,euarchontoglires,Aplodontia rufa,51342.0,GCA_004027875.1_AplRuf_v1_BIUU,87.0,81.3,91.0
Arctocebus_calabarensis,Calabar Angwantibo,primates strepsirrhini,Arctocebus calabarensis,261739.0,GCA_963573935.1,74.0,71.4,77.5
Artibeus_jamaicensis,Jamaican fruit-eating bat,chiroptera,Artibeus jamaicensis,9417.0,GCA_004027435.1_ArtJam_v1_BIUU,94.0,91.5,97.4
Ateles_belzebuth,White-bellied Spider Monkey,primates platyrrhini,Ateles belzebuth,9507.0,GCA_963573605.1,43.0,40.0,44.2
Ateles_chamek,Black-faced Black Spider Monkey,primates platyrrhini,Ateles chamek,118643.0,GCA_963574935.1,43.0,40.0,44.2
Ateles_geoffroyi_a,black-handed spider monkey,primates platyrrhini,Ateles geoffroyi_a,9509.0,,43.0,40.0,44.2
Ateles_geoffroyi_b,Central American spider monkey,primates platyrrhini,Ateles geoffroyi_b,9509.0,,43.0,40.0,44.2
Ateles_marginatus,White-cheeked Spider Monkey,primates platyrrhini,Ateles marginatus,1529884.0,GCA_963573555.1,43.0,40.0,44.2
Ateles_paniscus,Guiana Spider Monkey,primates platyrrhini,Ateles paniscus,9510.0,GCA_963573985.1,43.0,40.0,44.2
Avahi_laniger,Eastern Woolly Lemur,primates strepsirrhini,Avahi laniger,122246.0,GCA_963575035.1,74.0,71.4,77.5
Avahi_peyrierasi,Peyrieras Woolly Lemur,primates strepsirrhini,Avahi peyrierasi,1313323.0,GCA_963573525.1,74.0,71.4,77.5
Balaenoptera_acutorostrata,Minke whale,artiodactyla,Balaenoptera acutorostrata,9767.0,GCA_000493695.1_BalAcu1.0,94.0,91.5,97.4
Balaenoptera_bonaerensis,Antarctic minke whale,artiodactyla,Balaenoptera bonaerensis,33556.0,GCA_000978805.1_ASM97880v1,94.0,91.5,97.4
Beatragus_hunteri,hirola,artiodactyla,Beatragus hunteri,59527.0,GCA_004027495.1_BeaHun_v1_BIUU,94.0,91.5,97.4
Bison_bison,American bison,artiodactyla,Bison bison,9901.0,GCA_000754665.1_Bison_UMD1.0,94.0,91.5,97.4
Bos_indicus,zebu cattle,artiodactyla,Bos indicus,9915.0,GCA_000247795.2_Bos_indicus_1.0,94.0,91.5,97.4
Bos_mutus,wild yak,artiodactyla,Bos mutus,72004.0,bosMut1,94.0,91.5,97.4
Bos_taurus,cow,artiodactyla,Bos taurus,9913.0,GCA_000003205.6_Btau_5.0.1,94.0,91.5,97.4
Bubalus_bubalis,water buffalo,artiodactyla,Bubalus bubalis,89462.0,GCA_000471725.1_UMD_CASPUR_WB_2.0,94.0,91.5,97.4
Cacajao_ayresi,Ayres Black Uakari,primates platyrrhini,Cacajao ayresi,535896.0,GCA_963573425.1,43.0,40.0,44.2
Cacajao_calvus,Bald-headed Uacari,primates platyrrhini,Cacajao calvus,30596.0,GCA_963573955.1,43.0,40.0,44.2
Cacajao_hosomi,Black-headed Uacari,primates platyrrhini,Cacajao hosomi,535897.0,GCA_963573795.1,43.0,40.0,44.2
Cacajao_melanocephalus,Black-headed Uacari,primates platyrrhini,Cacajao melanocephalus,70825.0,GCA_963573385.1,43.0,40.0,44.2
Callibella_humilis,Black-crowned Dwarf Marmoset,primates platyrrhini,Callibella humilis (Mico humilis),666519.0,GCA_963574545.1,43.0,40.0,44.2
Callimico_goeldii,Goeldi's Monkey,primates platyrrhini,Callimico goeldii,9495.0,GCA_963573925.1,43.0,40.0,44.2
Callithrix_geoffroyi,Geoffroy's Tufted-ear Marmoset,primates platyrrhini,Callithrix geoffroyi,52231.0,GCA_963573515.1,43.0,40.0,44.2
Callithrix_jacchus,white-tufted-ear marmoset,primates platyrrhini,Callithrix jacchus,9483.0,,43.0,40.0,44.2
Callithrix_kuhlii,Wieds Marmoset,primates platyrrhini,Callithrix kuhlii,867363.0,GCA_963573495.1,43.0,40.0,44.2
Camelus_bactrianus,Bactrian camel,artiodactyla,Camelus bactrianus,9837.0,GCA_000767855.1_Ca_bactrianus_MBC_1.0,94.0,91.5,97.4
Camelus_dromedarius,Arabian camel,artiodactyla,Camelus dromedarius,9838.0,GCA_000767585.1_PRJNA234474_Ca_dromedarius_V1.0,94.0,91.5,97.4
Camelus_ferus,wild Bactrian camel,artiodactyla,Camelus ferus,419612.0,GCA_000311805.2_CB1,94.0,91.5,97.4
Canis_lupus_dingo,dingo,carnivora,Canis lupus dingo,286419.0,,94.0,91.5,97.4
Canis_lupus_VD,domestic dog (BS72/Village Dog),carnivora,Canis lupus familiaris,9615.0,GCA_004027395.1_CanFam_VD_v1_BIUU,94.0,91.5,97.4
Canis_lupus_familiaris,dog,carnivora,Canis lupus familiaris,9615.0,GCF_000002285.3_CanFam3.1,94.0,91.5,97.4
CanFam4,German Shepherd dog (Mischka),carnivora,Canis lupus familiaris (CanFam4) (Canis lupus familiaris),,canFam4,94.0,91.5,97.4
Canis_lupus_orion,Greenland wolf,carnivora,Canis lupus orion,2605939.0,GCA_905319855.2_mCanLor1.2,94.0,91.5,97.4
Capra_aegagrus,wild goat,artiodactyla,Capra aegagrus,9923.0,GCA_000978405.1_CapAeg_1.0,94.0,91.5,97.4
Capra_hircus,goat,artiodactyla,Capra hircus,9925.0,GCA_001704415.1_ARS1,94.0,91.5,97.4
Capromys_pilorides,Desmarest's hutia,euarchontoglires,Capromys pilorides,34842.0,GCA_004027915.1_CapPil_v1_BIUU,87.0,81.3,91.0
Carlito_syrichta,Philippine tarsier,primates tarsiidae,Carlito syrichta,1868482.0,tarSyr2,69.0,61.6,71.1
Carollia_perspicillata,Seba's short-tailed bat,chiroptera,Carollia perspicillata,40233.0,GCA_004027735.1_CarPer_v1_BIUU,94.0,91.5,97.4
Castor_canadensis,American beaver,euarchontoglires,Castor canadensis,51338.0,GCA_004027675.1_CasCan_v1_BIUU,87.0,81.3,91.0
Catagonus_wagneri,Chacoan peccary,artiodactyla,Catagonus wagneri,51154.0,GCA_004024745.1_CatWag_v1_BIUU,94.0,91.5,97.4
Cavia_aperea,Brazilian guinea pig,euarchontoglires,Cavia aperea,37548.0,cavApe1,87.0,81.3,91.0
Cavia_porcellus,domestic guinea pig,euarchontoglires,Cavia porcellus,10141.0,GCA_000151735.1_Cavpor3.0,87.0,81.3,91.0
Cavia_tschudii,Montane guinea pig,euarchontoglires,Cavia tschudii,143287.0,GCA_004027695.1_CavTsc_v1_BIUU,87.0,81.3,91.0
Cebuella_niveiventris,Eastern Pygmy Marmoset,primates platyrrhini,Cebuella niveiventris,2826950.0,GCA_963575025.1,43.0,40.0,44.2
Cebuella_pygmaea,Western Pygmy Marmoset,primates platyrrhini,Cebuella pygmaea,9493.0,GCA_963575105.1,43.0,40.0,44.2
Cebus_albifrons,white-fronted capuchin,primates platyrrhini,Cebus albifrons,9514.0,,43.0,40.0,44.2
Cebus_olivaceus,Guinan Weeper Capuchin,primates platyrrhini,Cebus olivaceus,37295.0,GCA_963574745.1,43.0,40.0,44.2
Cebus_unicolor,Spixs White-fronted Capuchin,primates platyrrhini,Cebus unicolor,1985288.0,GCA_963574255.1,43.0,40.0,44.2
Cephalopachus_bancanus,Horsfield's tarsier,primates tarsiidae,Cephalopachus bancanus,9477.0,GCA_963574495.1,69.0,61.6,71.1
Ceratotherium_simum,Southern white rhinoceros,laurasiatheria,Ceratotherium simum,9807.0,GCA_000283155.1_CerSimSim1.0,94.0,91.5,97.4
Ceratotherium_simum_cottoni,northern white rhinoceros,laurasiatheria,Ceratotherium simum cottoni,310713.0,,94.0,91.5,97.4
Cercocebus_atys,sooty mangabey,primates catarrhini,Cercocebus atys,9531.0,GCF_000955945.1_Caty_1.0,28.8,26.8,30.6
Cercocebus_chrysogaster,Golden-bellied Mangabey,primates catarrhini,Cercocebus chrysogaster,75569.0,GCA_963574065.1,28.8,26.8,30.6
Cercocebus_lunulatus,White-naped Mangabey,primates catarrhini,Cercocebus lunulatus (Cercocebus atys lunulatus),75570.0,GCA_963573365.1,28.8,26.8,30.6
Cercocebus_torquatus,Red-capped Mangabey,primates catarrhini,Cercocebus torquatus,9530.0,GCA_963574135.1,28.8,26.8,30.6
Cercopithecus_albogularis,Sykes' Monkey,primates catarrhini,Cercopithecus albogularis,36225.0,,28.8,26.8,30.6
Cercopithecus_ascanius,Red-tailed Monkey,primates catarrhini,Cercopithecus ascanius,36223.0,GCA_963574115.1,28.8,26.8,30.6
Cercopithecus_cephus,Moustached Monkey,primates catarrhini,Cercopithecus cephus,9535.0,GCA_963575225.1,28.8,26.8,30.6
Cercopithecus_diana,Diana Monkey,primates catarrhini,Cercopithecus diana,36224.0,GCA_963574765.1,28.8,26.8,30.6
Cercopithecus_hamlyni,Owl-faced Monkey,primates catarrhini,Cercopithecus hamlyni,9536.0,GCA_963574815.1,28.8,26.8,30.6
Cercopithecus_lowei,Lowes Monkey,primates catarrhini,Cercopithecus lowei,304410.0,,28.8,26.8,30.6
Cercopithecus_mona,Mona monkey,primates catarrhini,Cercopithecus mona,36226.0,,28.8,26.8,30.6
Cercopithecus_neglectus,De Brazza's monkey,primates catarrhini,Cercopithecus neglectus,36227.0,GCA_963574685.1,28.8,26.8,30.6
Cercopithecus_nictitans,Putty-nosed Monkey,primates catarrhini,Cercopithecus nictitans,36228.0,GCA_963575045.1,28.8,26.8,30.6
Cercopithecus_petaurista,Spot-nosed Monkey,primates catarrhini,Cercopithecus petaurista,100487.0,GCA_963575065.1,28.8,26.8,30.6
Cercopithecus_pogonias,Crowned Monkey,primates catarrhini,Cercopithecus pogonias,102108.0,GCA_963575055.1,28.8,26.8,30.6
Cercopithecus_roloway,Roloway Monkey,primates catarrhini,Cercopithecus roloway,1137049.0,GCA_963573595.1,28.8,26.8,30.6
Chaetophractus_vellerosus,screaming hairy armadillo,xenarthra,Chaetophractus vellerosus,340076.0,GCA_004027955.1_ChaVel_v1_BIUU,99.0,94.7,101.9
Cheirogaleus_major,Geoffroys Dwarf Lemur,primates strepsirrhini,Cheirogaleus major,47177.0,GCA_963574435.1,74.0,71.4,77.5
Cheirogaleus_medius,lesser dwarf lemur,primates strepsirrhini,Cheirogaleus medius,9460.0,GCA_963574425.1,74.0,71.4,77.5
Cheracebus_lucifer,Yellow-handed Titi Monkey,primates platyrrhini,Cheracebus lucifer,2487712.0,GCA_963573755.1,43.0,40.0,44.2
Cheracebus_lugens,Collared Titi Monkey,primates platyrrhini,Cheracebus lugens,210166.0,GCA_963574535.1,43.0,40.0,44.2
Cheracebus_regulus,Widow Monkey,primates platyrrhini,Cheracebus regulus,1812110.0,GCA_963574635.1,43.0,40.0,44.2
Cheracebus_torquatus,Widow Monkey,primates platyrrhini,Cheracebus torquatus,30592.0,GCA_963574645.1,43.0,40.0,44.2
Chinchilla_lanigera,long-tailed chinchilla,euarchontoglires,Chinchilla lanigera,34839.0,chiLan1,87.0,81.3,91.0
Chiropotes_albinasus,White-nosed Saki,primates platyrrhini,Chiropotes albinasus,198627.0,,43.0,40.0,44.2
Chiropotes_israelita,brown-backed bearded saki,primates platyrrhini,Chiropotes israelita,280163.0,GCA_963573965.1,43.0,40.0,44.2
Chiropotes_sagulatus,Reddish-brown bearded saki,primates platyrrhini,Chiropotes sagulatus (Chiropotes chiropotes),658221.0,GCA_963574175.1,43.0,40.0,44.2
Chlorocebus_aethiops,grivet,primates catarrhini,Chlorocebus aethiops,9534.0,,28.8,26.8,30.6
Chlorocebus_pygerythrus,Vervet Monkey,primates catarrhini,Chlorocebus pygerythrus,60710.0,GCA_963575115.1,28.8,26.8,30.6
Chlorocebus_sabaeus,green monkey,primates catarrhini,Chlorocebus sabaeus,60711.0,GCA_000409795.2_Chlorocebus_sabeus_1.1,28.8,26.8,30.6
Choloepus_didactylus,southern two-toed sloth,xenarthra,Choloepus didactylus,27675.0,GCA_004027855.1_ChoDid_v1_BIUU,99.0,94.7,101.9
Choloepus_hoffmanni,Hoffmann's two-fingered sloth,xenarthra,Choloepus hoffmanni,9358.0,GCA_000164785.2_C_hoffmanni-2.0.1,99.0,94.7,101.9
Chrysochloris_asiatica,Cape golden mole,afrotheria,Chrysochloris asiatica,185453.0,GCA_004027935.1_ChrAsi_v1_BIUU,99.0,94.7,101.9
Colobus_angolensis,Angolan colobus,primates catarrhini,Colobus angolensis,54131.0,colAng1,28.8,26.8,30.6
Colobus_guereza,mantled guereza,primates catarrhini,Colobus guereza,33548.0,,28.8,26.8,30.6
Colobus_polykomos,King Colobus,primates catarrhini,Colobus polykomos,9572.0,GCA_963574725.1,28.8,26.8,30.6
Condylura_cristata,star-nosed mole,laurasiatheria,Condylura cristata,143302.0,GCF_000260355.1_ConCri1.0,94.0,91.5,97.4
Craseonycteris_thonglongyai,hog-nosed bat,chiroptera,Craseonycteris thonglongyai,208972.0,GCA_004027555.1_CraTho_v1_BIUU,94.0,91.5,97.4
Cricetomys_gambianus,Gambian giant pouched rat,euarchontoglires,Cricetomys gambianus,10085.0,GCA_004027575.1_CriGam_v1_BIUU,87.0,81.3,91.0
Cricetulus_griseus,Chinese hamster,euarchontoglires,Cricetulus griseus,10029.0,GCA_900186095.1_CHOK1S_HZDv1,87.0,81.3,91.0
Crocidura_indochinensis,Indochinese shrew,laurasiatheria,Crocidura indochinensis,876679.0,GCA_004027635.1_CroInd_v1_BIUU,94.0,91.5,97.4
Cryptoprocta_ferox,fossa,carnivora,Cryptoprocta ferox,94188.0,,94.0,91.5,97.4
Ctenodactylus_gundi,northern gundi,euarchontoglires,Ctenodactylus gundi,10166.0,GCA_004027205.1_CteGun_v1_BIUU,87.0,81.3,91.0
Ctenomys_sociabilis,social tuco-tuco,euarchontoglires,Ctenomys sociabilis,43321.0,GCA_004027165.1_CteSoc_v1_BIUU,87.0,81.3,91.0
Cuniculus_paca,lowland paca,euarchontoglires,Cuniculus paca,108852.0,,87.0,81.3,91.0
Dasyprocta_punctata,punctate agouti,euarchontoglires,Dasyprocta punctata,34846.0,,87.0,81.3,91.0
Dasypus_novemcinctus,nine-banded armadillo,xenarthra,Dasypus novemcinctus,9361.0,GCA_000208655.2_Dasnov3.0,99.0,94.7,101.9
Daubentonia_madagascariensis,aye-aye,primates strepsirrhini,Daubentonia madagascariensis,31869.0,,74.0,71.4,77.5
Delphinapterus_leucas,beluga whale,artiodactyla,Delphinapterus leucas,9749.0,GCA_002288925.2_ASM228892v2,94.0,91.5,97.4
Desmodus_rotundus,common vampire bat,chiroptera,Desmodus rotundus,9430.0,GCA_002940915.2_ASM294091v2,94.0,91.5,97.4
Dicerorhinus_sumatrensis,Sumatran rhinoceros,laurasiatheria,Dicerorhinus sumatrensis,89632.0,GCA_002844835.1_ASM284483v1,94.0,91.5,97.4
Diceros_bicornis,black rhinoceros,laurasiatheria,Diceros bicornis,9805.0,GCA_004027315.1_DicBicMic_v1_BIUU,94.0,91.5,97.4
Dinomys_branickii,pacarana,euarchontoglires,Dinomys branickii,108858.0,GCA_004027595.1_DinBra_v1_BIUU,87.0,81.3,91.0
Dipodomys_ordii,Ord's kangaroo rat,euarchontoglires,Dipodomys ordii,10020.0,dipOrd2,87.0,81.3,91.0
Dipodomys_stephensi,Stephens's kangaroo rat,euarchontoglires,Dipodomys stephensi,323379.0,GCA_004024685.1_DipSte_v1_BIUU,87.0,81.3,91.0
Dolichotis_patagonum,Patagonian cavy,euarchontoglires,Dolichotis patagonum,29091.0,GCA_004027295.1_DolPat_v1_BIUU,87.0,81.3,91.0
Echinops_telfairi,small Madagascar hedgehog,afrotheria,Echinops telfairi,9371.0,GCA_000313985.1_EchTel2.0,99.0,94.7,101.9
Eidolon_helvum,straw-colored fruit bat,chiroptera,Eidolon helvum,77214.0,eidHel1,94.0,91.5,97.4
Elaphurus_davidianus,Pere David's deer,artiodactyla,Elaphurus davidianus,43332.0,GCA_002443075.1_Milu1.0,94.0,91.5,97.4
Elephantulus_edwardii,Cape elephant shrew,afrotheria,Elephantulus edwardii,28737.0,eleEdw1,99.0,94.7,101.9
Ellobius_lutescens,Transcaucasian mole vole,euarchontoglires,Ellobius lutescens,39086.0,GCA_001685075.1_ASM168507v1,87.0,81.3,91.0
Ellobius_talpinus,northern mole vole,euarchontoglires,Ellobius talpinus,329620.0,GCA_001685095.1_ETalpinus_0.1,87.0,81.3,91.0
Enhydra_lutris,Sea otter,carnivora,Enhydra lutris,34882.0,GCA_002288905.2_ASM228890v2,94.0,91.5,97.4
Eptesicus_fuscus,big brown bat,chiroptera,Eptesicus fuscus,29078.0,GCF_000308155.1_EptFus1.0,94.0,91.5,97.4
Equus_asinus,ass,laurasiatheria,Equus asinus,9793.0,GCA_001305755.1_ASM130575v1,94.0,91.5,97.4
Equus_caballus,horse,laurasiatheria,Equus caballus,9796.0,GCA_000002305.1_EquCab2.0,94.0,91.5,97.4
Equus_przewalskii,Przewalski's horse,laurasiatheria,Equus przewalskii,9798.0,GCA_000696695.1_Burgud,94.0,91.5,97.4
